Ticker,Name,Sector,Subsector,HQ,Added,CIK,Founded
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",2/28/86,49826,1912
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,1935
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",10/26/07,52988,1947
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",7/1/15,728535,1961
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",12/18/23,898293,1966
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",8/27/10,833444,1885
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",11/13/18,779152,1976
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/06,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",6/30/75,19617,2000 (1799 / 1871)
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",9/11/89,55067,1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",6/21/22,1418135,1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,1825
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014 (1939)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,1637459,2015 (1869)
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",4/4/06,879101,1958
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",6/24/24,1404912,1976
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",9/30/97,319201,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",3/4/57,55785,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307,1997
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/10,1170010,1993
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",3/4/57,21344,1886
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/57,56873,1883
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",8/25/23,1944048,2022 (Johnson & Johnson spinoff)
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",5/31/95,60086,1959
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",8/9/19,1336920,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,920760,1954
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,920148,1978
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/08,202058,"2019 (L3 1997, Harris 1895)"
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",7/1/92,1707925,1879
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696,1998
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478,1876
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",3/4/57,936468,1995
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904/1946/1959
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",6/29/12,707549,1980
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",10/18/23,1397187,1998
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",7/1/94,92380,1967
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/19,1300514,1988
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,1679273,2016 (1950)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,1489393,2007
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/19,1335258,2010
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",7/18/08,1141391,1966
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",12/2/16,912595,1977
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",5/29/98,1048286,1927
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",6/30/81,62996,1929
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,63908,1940
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054,1989
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1/13/99,927653,1833
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",7/1/98,1059556,1909
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/12,1103982,2012
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,1613103,1949
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",12/11/00,1099219,1868
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/13,1326801,2004
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,789570,1986
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/13,851968,1878
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/03,63754,1889
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",7/1/19,1278021,2000
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076,1993
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",8/31/87,62709,1905
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/57,66740,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",6/28/12,865752,2012 (1935)
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,764180,1985
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",3/2/22,1179929,1980
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/11,1285785,2004 (1865 / 1909)
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295,2009 (1887)
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2/12/21,1280452,1997
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/57,310158,1891
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",7/21/21,1682852,2010
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,101778,1887
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",7/29/93,895421,1935
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4/4/18,1408198,1969
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019,1975
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",3/4/57,68505,1928 (2011)
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2/23/04,36270,1856
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",9/20/21,891103,1986
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646,1945
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125,1978
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,2011 (1966)
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",10/22/08,1120193,1971
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2/15/22,72331,1935
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,1984 (1925)
NEM,Newmont,Materials,Gold,"Denver, Colorado",6/30/69,1164727,1921
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",11/2/00,1111711,1912
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",3/4/57,1133421,"1994 (Northrop 1939, Grumman 1930)"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/19,1373715,2003
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/10,1013871,1992
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",3/4/57,702165,1881/1894 (1980)
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",6/25/99,1002047,1992
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1/30/98,73124,1889
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/19,906163,1980
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",9/18/15,1564708,2013 (News Corporation 1980)
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",8/1/13,1564708,2013 (News Corporation 1980)
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/21,1413447,1953
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,1969
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",12/9/19,878927,1934
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,1906
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",12/31/97,29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",6/21/22,1097864,1999
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",8/31/89,1341439,1977
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",3/27/09,898173,1957
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",4/3/20,1781335,"2020 (1853, United Technologies spinoff)"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,797468,1920
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",6/20/23,1327567,2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",9/30/94,813828,2019 (Paramount Pictures 1912)
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1/28/20,1590955,1998
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",10/1/98,723531,1971
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",12/31/80,75362,1905
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",10/3/22,1004980,1905
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",3/4/57,788784,1903
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",3/4/57,77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,78003,1849
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",3/4/57,80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,1937
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",11/30/85,76334,1917
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,1956
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",7/26/17,75677,1959
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,1983
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",9/23/24,1321655,2003
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",3/31/08,1413329,2008 (1847)
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,1845
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",10/1/12,77360,1966
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",10/4/99,764622,1985
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",3/15/23,1145197,2000
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/20,945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/57,79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",10/1/01,922224,1920
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,1875
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",8/19/05,1393311,1972
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,2012 (1917)
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",4/20/21,857005,1985
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,1997
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",7/20/15,1633917,1998
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",7/22/99,804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,2015
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,1997
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,1963
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,1971
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,1962
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/07,1037038,1967
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,1989
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",3/12/00,1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",12/23/09,882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/09,745732,1982
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,1998 (1981)
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",3/4/57,101829,1922
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791,1937
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",9/1/17,1034054,1989
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",6/7/00,829224,1971
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,1897
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,87347,1926
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",3/18/24,1375365,1993
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",9/30/82,91440,1920
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",3/16/17,883241,1986
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",3/4/57,92122,1945
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",4/1/24,1964738,2023
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,2003
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",3/4/57,64040,1917
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",3/17/17,1032208,1998
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/19,1757898,1985
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",12/22/22,1022671,1993
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",3/14/03,93751,1792
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,1979
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",7/1/05,16918,1945
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",7/8/24,2005951,1934
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",9/30/82,93556,1843
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",3/12/15,4127,2002
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,2003
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,1969
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1983 (1885)
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",6/30/76,24545,"2005 (Molson 1786, Coors 1873)"
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,1993
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",6/22/20,1094285,1960
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/21,842023,1976
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,2007
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",9/21/20,97210,1960
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",12/4/97,92230,1872
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",12/31/76,27419,1902
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,1987
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,2006 (1902)
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,1283699,1994
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",9/1/04,1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",10/12/22,1389170,2005
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/21,864749,1978
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",7/29/19,1113169,1937
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",8/21/02,86312,1853
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",1/24/14,916365,1938
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",12/21/20,1318605,2003
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/05,100493,1935
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",11/17/10,1466258,1871
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",3/19/18,946581,1993
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",3/12/01,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,1923
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",6/22/20,860731,1966
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",9/3/15,100517,1967
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",12/18/23,1543151,2009
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,1972
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,1979
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",4/18/16,1403568,1990
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",3/4/57,100885,1862
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/02,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,1997
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",11/1/99,36104,1968
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",12/21/09,1403161,1958
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",6/8/22,1705696,2017
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",12/20/02,1035002,1980
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",10/2/23,1967680,2023
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,1909
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,1971
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,1995
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",9/23/13,875320,1989
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",5/8/24,1692819,2016
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,1998
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/04,1792044,1961
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/83,732712,1983 (1877)
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2/27/19,943452,1999 (1869)
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1/2/02,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,2014
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",4/11/22,1437107,2022 (Warner Bros. 1923)
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/09,106040,1970
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,1896
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,1970
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,1852
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",8/31/98,823768,1968
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,1908
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",8/31/82,104169,1962
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,11544,1967
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/20,105770,1923
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,2016
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",10/1/79,106535,1900
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/57,72903,1909
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/57,34088,1999
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",11/1/11,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,1997
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,1927
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/19,877212,1969
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/13,1555280,1952